"ID ","Название производителя"," Дата начала работы"
1,"Princeton Review",2015-01-06
2,"Кнорус",2017-08-18
3,"Яуза",2015-10-22
4,"Аванта+",2017-02-22
5,"Dorling Kindersley",2015-01-02
6,"Delta Publishing",2017-05-17
7,"Проспект",2017-11-16
8,"Express Publishing",2016-09-15
9,"Эксмо-Пресс",2018-02-26
10,"Розовый жираф",2017-09-20
11,"Стандарт-Коллекция",2015-11-07
12,"Медиарама",2016-10-17
13,"Вагриус",2018-06-07
14,"Академкнига",2015-05-13
15,"Прогресс",2018-06-16
16,"Возвращение",2017-01-16
17,"АСТ",2017-10-31
18,"Ladybird",2017-02-15
19,"ЛитРес",2017-06-21
20,"Матезис",2017-10-12
21,"Gallimard",2016-08-23
22,"Современник",2016-03-16
23,"Алгоритм",2015-07-21
24,"Антология",2017-06-04
25,"Росмэн",2017-04-14
26,"Просвещение",2018-03-24
27,"Мир хобби",2016-09-27
28,"Попурри",2015-05-24
29,"Феникс",2016-09-07
30,"Абрис",2017-10-24
31,"Де Агостини",2015-08-08
32,"Виват",2018-04-11
33,"Весь мир",2017-10-31
34,"Велес-ВА",2017-09-09
35,"Дрофа",2015-08-16
36,"Эксмо",2015-03-16
37,"Аврора",2016-09-24
38,"Cambridge",2015-08-18
39,"Планета",2017-11-04
40,"Вита Нова",2017-03-28
41,"РОССПЭН",2017-09-04
42,"Мир",2017-11-18
43,"Росток",2017-10-20
44,"Питер",2018-05-06
45,"Вита-Пресс",2016-10-25
46,"Литературная Россия",2015-02-03
47,"Флинта",2017-04-10
48,"Академический проект",2016-12-02
49,"ИНФРА-М",2015-11-21
50,"Прометей",2017-02-11
